"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158667"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-05-16","2014","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-17","2014","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-18","2014","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-19","2014","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-20","2014","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-21","2014","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-22","2014","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-23","2014","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-24","2014","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-25","2014","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-26","2014","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-27","2014","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-28","2014","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-29","2014","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-30","2014","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-05-31","2014","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-01","2014","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-02","2014","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-03","2014","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-04","2014","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-05","2014","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-06","2014","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-07","2014","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-08","2014","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-09","2014","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-10","2014","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-11","2014","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-12","2014","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-13","2014","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-14","2014","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-15","2014","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-16","2014","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-17","2014","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-18","2014","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-19","2014","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-20","2014","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-21","2014","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-22","2014","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-23","2014","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-24","2014","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-25","2014","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-26","2014","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-27","2014","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-28","2014","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-29","2014","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-30","2014","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-01","2014","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-02","2014","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-03","2014","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-04","2014","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-05","2014","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-06","2014","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-07","2014","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-08","2014","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-09","2014","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-10","2014","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-11","2014","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-12","2014","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-13","2014","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-14","2014","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-15","2014","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-16","2014","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-17","2014","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-18","2014","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-19","2014","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-20","2014","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-21","2014","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-22","2014","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-23","2014","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-24","2014","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-25","2014","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-26","2014","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-27","2014","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-28","2014","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-29","2014","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-30","2014","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-31","2014","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-01","2014","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-02","2014","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-03","2014","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-04","2014","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-05","2014","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-06","2014","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-07","2014","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-08","2014","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-09","2014","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-10","2014","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-11","2014","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-12","2014","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-13","2014","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-14","2014","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-15","2014","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-16","2014","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-17","2014","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-18","2014","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-19","2014","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-20","2014","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-21","2014","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-22","2014","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-23","2014","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-24","2014","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-25","2014","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-26","2014","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-27","2014","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-28","2014","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-29","2014","08","29","","","","","","","","","","","","","","","","","","","","","","",""
